order_id,customer_id,product_id,order_date,quantity,unit_price,discount,payment_method,channel,rating
ORD10253,C0217,P03,2024-08-21,1,2500,0,Card,app,3
ORD10394,C0113,P11,Sep 24 2024,1,1710,0.1,mpesa,web,3
ORD10371,C0129,P08,Apr 6 2025,1,"2,200",0,M-Pesa,app,3
ORD11179,C0286,P07,2024-06-06,1,KES 950,0,M-Pesa,Web,3
ORD10378,C0077,P08,2024-04-20,1,1870,0.15,cash,Web,5
ORD10489,C0077,P17,2024-10-10,2,"2,800",0,M-Pesa,app,3
ORD10094,C0223,P19,2024-08-02,4,1500,0,Cash,Store,3
ORD11093,C0042,P19,2024-11-06,1,1350,0.1,M-Pesa,web,4
ORD11920,C0223,P13,2024-06-17,3,190,0.05,mpesa,App,3
ORD11241,C0028,P04,2025-05-01,1,KES 1800,0,card,web,3
ORD11274,C0078,P16,2024-06-07,3,1200,0,M-Pesa,Store,2
ORD11178,C0282,P16,Jan 17 2024,1,1020,0.15,Cash,Store,2
ORD11578,C0294,P14,17/07/2024,1,1520,0.05,M-Pesa,store,3
ORD11389,C0048,P09,Mar 12 2025,2,KES 4200,0,mpesa,web,3
ORD10322,C0226,P20,2024-04-11,4,KES 1100,0,Card,app,3
ORD10524,C0060,P15,2024-04-02,4,KES 750,0,M-Pesa,Store,4
ORD11959,C0197,P11,Aug 13 2024,1,KES 1900,0,card,Web,3
ORD10927,C0141,P18,Jun 24 2025,4,540,0.1,cash,Store,4
ORD11006,C0173,P14,Mar 17 2024,1,1520,0.05,Cash,Web,4
ORD10238,C0034,P16,2024-01-22,2,KES 1080,0.1,cash,Store,4
ORD10009,C0232,P03,May 23 2025,1,KES 2125,0.15,Card,app,5
ORD10949,C0255,P01,Apr 5 2024,2,KES 3500,0,cash,store,4
ORD10475,C0272,P15,05/12/2024,3,750,0,card,App,5
ORD11348,C0091,P19,17/05/2025,4,1425,0.05,Cash,app,2
ORD11002,C0194,P11,24/04/2025,2,1805,0.05,card,store,
