return_id,order_id,return_date,reason
RET500,ORD11179,2024-06-06,Damaged
RET501,ORD11006,Mar 17 2024,Wrong item
RET502,ORD11348,17/05/2025,Damaged
RET503,ORD10787,Feb 12 2024,Changed mind
RET504,ORD11309,Jan 2 2024,Damaged
RET505,ORD11794,Jun 5 2025,Damaged
RET506,ORD10023,Nov 13 2024,damaged
RET507,ORD11770,Oct 5 2024,Faulty
RET508,ORD10622,Oct 13 2024,Faulty
RET509,ORD10074,23/02/2024,Faulty
RET510,ORD10639,Oct 5 2024,Changed mind
RET511,ORD10130,2024-02-04,Wrong item
RET512,ORD10507,May 24 2025,Damaged
RET513,ORD10145,Feb 20 2024,Damaged
RET514,ORD11951,13/12/2024,damaged
RET515,ORD11522,02/01/2025,damaged
RET516,ORD10437,2024-05-02,Wrong item
RET517,ORD10481,2024-05-01,wrong item
RET518,ORD11849,Nov 14 2024,Wrong item
RET519,ORD11942,2024-06-02,wrong item
RET520,ORD10135,24/11/2024,Changed mind
RET521,ORD11911,21/05/2025,Damaged
RET522,ORD10223,Jun 16 2025,Changed mind
RET523,ORD11754,10/07/2024,damaged
RET524,ORD11099,26/01/2024,Changed mind
RET525,ORD11577,2024-11-26,wrong item
RET526,ORD11641,2024-04-04,Damaged
RET527,ORD10647,2024-08-11,wrong item
RET528,ORD10041,Jul 14 2024,Changed mind
RET529,ORD11852,02/05/2025,Wrong item
RET530,ORD10722,Mar 21 2025,damaged
RET531,ORD10830,05/12/2024,Faulty
RET532,ORD10261,Jan 8 2024,Wrong item
RET533,ORD10071,May 17 2024,damaged
RET534,ORD11025,17/05/2024,Late delivery
RET535,ORD10697,2025-02-17,wrong item
RET536,ORD11725,10/01/2025,Late delivery
RET537,ORD10291,2025-02-03,Damaged
RET538,ORD10231,Apr 18 2024,Damaged
RET539,ORD10050,Mar 14 2025,Changed mind
RET540,ORD10712,08/02/2025,Damaged
RET541,ORD11118,02/04/2024,Late delivery
RET542,ORD10273,2024-08-19,damaged
RET543,ORD11300,03/04/2025,damaged
RET544,ORD11227,2024-10-08,Wrong item
RET545,ORD10460,Jan 8 2024,Changed mind
RET546,ORD10937,11/12/2024,Damaged
RET547,ORD11659,Jun 20 2024,damaged
RET548,ORD11362,Feb 18 2024,wrong item
RET549,ORD10399,06/05/2024,Damaged
RET550,ORD11213,2024-06-20,Damaged
RET551,ORD11470,2024-06-13,Wrong item
RET552,ORD11664,Oct 21 2024,wrong item
RET553,ORD10928,Jul 13 2024,Damaged
RET554,ORD11439,23/01/2024,Late delivery
RET555,ORD10551,13/06/2024,damaged
RET556,ORD10754,May 8 2025,Faulty
RET557,ORD11429,Mar 2 2025,Wrong item
RET558,ORD10407,Aug 16 2024,Wrong item
RET559,ORD11795,Jul 26 2024,Damaged
RET560,ORD10586,2025-04-13,Damaged
RET561,ORD11541,2024-06-11,Changed mind
RET562,ORD10397,04/05/2025,Damaged
